Reference, Value, Footprint, Datasheet, Price (1500), Price, Distributor Part Number, Misc, Manufacturer Part Number
FB1,Ferrite,0805,http://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM21PG121SH1D/490-12626-1-ND/5797605,0.04686,0.17,490-12626-1-ND,120 OHM @ 100 MHz 0805 3A 30mOhm,BLM21PG121SH1D
FB2,Ferrite,0805,http://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM21PG121SH1D/490-12626-1-ND/5797605,0.04686,0.17,490-12626-1-ND,120 OHM @ 100 MHz 0805 3A 30mOhm,BLM21PG121SH1D
C12,220pF,0805,http://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C221JBANNNC/1276-1164-1-ND/3889250,0.015,0.10,1276-1164-1-ND,CAP CER 220pF 50V 5% X7R 0805,CL21C221JBANNNC
C13,220pF,0805,http://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C221JBANNNC/1276-1164-1-ND/3889250,0.015,0.10,1276-1164-1-ND,CAP CER 220pF 50V 5% X7R 0805,CL21C221JBANNNC
RV1,POT,,
C8,1uF,0805,http://www.digikey.com/product-detail/en/CL21B105KPFNNNE/1276-1275-1-ND/3889361,0.01821,0.10,1276-1275-1-ND,CAP CER 1UF 10V 10% X7R 0805,CL21B105KPFNNNE
C9,1uF,0805,http://www.digikey.com/product-detail/en/CL21B105KPFNNNE/1276-1275-1-ND/3889361,0.01821,0.10,1276-1275-1-ND,CAP CER 1UF 10V 10% X7R 0805,CL21B105KPFNNNE
C11,1uF,0805,http://www.digikey.com/product-detail/en/CL21B105KPFNNNE/1276-1275-1-ND/3889361,0.01821,0.10,1276-1275-1-ND,CAP CER 1UF 10V 10% X7R 0805,CL21B105KPFNNNE
R26,100_o,,http://www.digikey.com/product-detail/en/ERJ-6ENF1003V/P100KCCT-ND/119551,0.00729,0.10,P100CCT-ND,RES SMD 100 OHM 1% 1/8W 0805,ERJ-6ENF1000V
R27,100_o,,http://www.digikey.com/product-detail/en/ERJ-6ENF1003V/P100KCCT-ND/119551,0.00729,0.10,P100CCT-ND,RES SMD 100 OHM 1% 1/8W 0805,ERJ-6ENF1000V
C10,0.1uF,0805,http://www.digikey.com/product-detail/en/CL21B104KBCNNNC/1276-1003-1-ND/3889089,0.0114,0.10,1276-1003-1-ND,CAP CER 0.1UF 50V 10% X7R 0805,CL21B104KBCNNNC
U7,PAM8302A,SOP-8,http://www.mouser.com/ProductDetail/Diodes-Incorporated/PAM8302AADCR/?qs=sGAEpiMZZMtxdzBvM0rKcW6VwckCafRVA1Gsy5T4pyU%3d,0.238,0.67,621-PAM8302AADCR,Mono Amplifier,PAM8302AADCR
